title,cwe,description,cvss,cvss_v4,finding,stream,kind,where,snippet,method
011. Use of software with known vulnerabilities,CWE-1333,"Use of nth-check at version 1.0.2 with ['CVE-2021-3803', 'GHSA-rp65-9cf3-cjxr'] in MyApp/package-lock.json",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,18010,"
   5438 |       ""integrity"": ""sha512-MC1Gx6eRfmqaARL1DczldYzA3NdMlnC5vY/AXBSZuiHCoENS4++duEjhDjMtRSiidwSCrjuaz5Y9yxKTocRmzA=="",
   5439 |       ""dependencies"": {
   5440 |         ""@sinclair/typebox"": ""0.25.24"",
   5441 |         ""@vercel/build-utils"": ""10.5.1"",
   5442 |         ""esbuild"": ""0.14.47"",
   5443 |         ""etag"": ""1.8.1"",
   5444 |         ""fs-extra"": ""11.1.0""
   5445 |       }
   5446 |     },
>  5447 |     ""node_modules/@vercel/gatsby-plugin-vercel-builder/node_modules/esbuild"": {
   5448 |       ""version"": ""0.14.47"",
   5449 |       ""resolved"": ""https://registry.npmjs.org/esbuild/-/esbuild-0.14.47.tgz"",
   5450 |       ""integrity"": ""sha512-wI4ZiIfFxpkuxB8ju4MHrGwGLyp1+awEHAHVpx6w7a+1pmYIq8T9FGEVVwFo0iFierDoMj++Xq69GXWYn2EiwA=="",
   5451 |       ""hasInstallScript"": true,
   5452 |       ""bin"": {
   5453 |         ""esbuild"": ""bin/esbuild""
   5454 |       },
   5455 |       ""engines"": {
   5456 |         ""node"": "">=12""
   5457 |       },
        ^ Col 0
",npm.npm_package_lock_json
011. Use of software with known vulnerabilities,CWE-346,Use of esbuild at version 0.14.47 with ['GHSA-67mh-4wv8-2f99'] in MyApp/package-lock.json,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,https://help.fluidattacks.com/portal/en/kb/articles/criteria-vulnerabilities-011,skims,SCA,5598,"
   5588 |       ""integrity"": ""sha512-V+SsTpDqkrWTimiotsyl33ePSjA5/KrithwupuvJ6ztsqPvGv6ge4OredFhPffVXiLN/QUWvE0XcqJaYgt6fOg=="",
   5589 |       ""engines"": {
   5590 |         ""node"": "">= 14""
   5591 |       }
   5592 |     },
   5593 |     ""node_modules/@vercel/node/node_modules/cjs-module-lexer"": {
   5594 |       ""version"": ""1.2.3"",
   5595 |       ""resolved"": ""https://registry.npmjs.org/cjs-module-lexer/-/cjs-module-lexer-1.2.3.tgz"",
   5596 |       ""integrity"": ""sha512-0TNiGstbQmCFwt4akjjBg5pLRTSyj/PkWQ1ZoO2zntmg9yLqSRxwEa4iCfQLGjqhiqBfOJa7W/E8wfGrTDmlZQ==""
   5597 |     },
>  5598 |     ""node_modules/@vercel/node/node_modules/esbuild"": {
   5599 |       ""version"": ""0.14.47"",
   5600 |       ""resolved"": ""https://registry.npmjs.org/esbuild/-/esbuild-0.14.47.tgz"",
   5601 |       ""integrity"": ""sha512-wI4ZiIfFxpkuxB8ju4MHrGwGLyp1+awEHAHVpx6w7a+1pmYIq8T9FGEVVwFo0iFierDoMj++Xq69GXWYn2EiwA=="",
   5602 |       ""hasInstallScript"": true,
   5603 |       ""bin"": {
   5604 |         ""esbuild"": ""bin/esbuild""
   5605 |       },
   5606 |       ""engines"": {
   5607 |         ""node"": "">=12""
   5608 |       },
        ^ Col 0
",npm.npm_package_lock_json
Summary: 8 vulnerabilities were found in your targets.
